__time,/current_EE_pose/header/header/stamp,/current_EE_pose/pose/orientation/pitch,/current_EE_pose/pose/orientation/roll,/current_EE_pose/pose/orientation/w,/current_EE_pose/pose/orientation/x,/current_EE_pose/pose/orientation/y,/current_EE_pose/pose/orientation/yaw,/current_EE_pose/pose/orientation/z,/current_EE_pose/pose/position/x,/current_EE_pose/pose/position/y,/current_EE_pose/pose/position/z,/equilibrium_pose/header/header/stamp,/equilibrium_pose/pose/orientation/pitch,/equilibrium_pose/pose/orientation/roll,/equilibrium_pose/pose/orientation/w,/equilibrium_pose/pose/orientation/x,/equilibrium_pose/pose/orientation/y,/equilibrium_pose/pose/orientation/yaw,/equilibrium_pose/pose/orientation/z,/equilibrium_pose/pose/position/x,/equilibrium_pose/pose/position/y,/equilibrium_pose/pose/position/z
1781381094.707342,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.091400886,0.480010895,0.000000000,,,,,,,,,,,
1781381094.707358,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.091400886,0.480010895,0.000000000,,,,,,,,,,,
1781381094.707431,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.091400886,0.480010895,0.000000000,,,,,,,,,,,
1781381094.708954,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.091435829,0.480010857,0.000000000,,,,,,,,,,,
1781381094.711357,,,,,,,,,,,,1781381094.710301161,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.100000000,0.480000000,0.000000000
1781381094.712597,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.091435829,0.480010857,0.000000000,,,,,,,,,,,
1781381094.712648,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.091435829,0.480010857,0.000000000,,,,,,,,,,,
1781381094.715211,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.091507899,0.480010779,0.000000000,,,,,,,,,,,
1781381094.715261,,,,,,,,,,,,1781381094.712831497,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.100000000,0.480000000,0.000000000
1781381094.715269,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.091507899,0.480010779,0.000000000,,,,,,,,,,,
1781381094.717067,,,,,,,,,,,,1781381094.716146708,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.100000000,0.480000000,0.000000000
1781381094.722133,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.091592646,0.480010689,0.000000000,,,,,,,,,,,
1781381094.722282,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.091592646,0.480010689,0.000000000,,,,,,,,,,,
1781381094.722322,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.091680081,0.480010595,0.000000000,,,,,,,,,,,
1781381094.722747,,,,,,,,,,,,1781381094.720477104,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.100000000,0.480000000,0.000000000
1781381094.725793,,,,,,,,,,,,1781381094.722678661,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.100000000,0.480000000,0.000000000
1781381094.725813,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.091720972,0.480010552,0.000000000,,,,,,,,,,,
1781381094.725947,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.091720972,0.480010552,0.000000000,,,,,,,,,,,
1781381094.725991,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.091720972,0.480010552,0.000000000,,,,,,,,,,,
